scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,8,1,BASELINE,benchmark_elapsed_ms,40,6585.122,6694.235,5368.564,7235.651,478.432,MEASURED
APPLICATION,8,1,BASELINE,benchmark_throughput,40,2724661.776,2665167.410,2465739.673,3323278.233,217242.995,MEASURED
APPLICATION,8,1,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,1,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,1,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,1,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,1,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,1,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,1,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,1,INTEGRATED,benchmark_elapsed_ms,40,7202.869,7296.538,6045.497,7831.190,442.773,MEASURED
APPLICATION,8,1,INTEGRATED,benchmark_throughput,40,2486813.688,2445164.146,2278227.185,2951160.401,164822.890,MEASURED
APPLICATION,8,1,INTEGRATED,mean_queue_wait_us,40,15674.965,16236.380,2114.819,29143.222,8341.355,MEASURED
APPLICATION,8,1,INTEGRATED,mean_completion_latency_us,40,20059.275,21384.357,4958.071,33963.779,8531.696,MEASURED
APPLICATION,8,1,INTEGRATED,mean_pipeline_serial_wait_us,40,153599.224,155383.321,203.837,329915.497,101775.845,MEASURED
APPLICATION,8,1,INTEGRATED,mean_phase3_us,40,4297.295,4339.293,2554.248,5771.873,708.427,MEASURED
APPLICATION,8,1,INTEGRATED,mean_phase4_us,40,12974.322,12855.125,9668.681,17217.138,1703.278,MEASURED
APPLICATION,8,1,INTEGRATED,mean_phase5_us,40,15329.423,15362.529,10742.655,18462.027,1771.696,MEASURED
APPLICATION,8,1,INTEGRATED,mean_phase6_us,40,13533.682,13420.595,10285.829,16322.096,1432.690,MEASURED
APPLICATION,8,2,BASELINE,benchmark_elapsed_ms,40,6995.026,6798.748,5477.733,8349.603,713.113,MEASURED
APPLICATION,8,2,BASELINE,benchmark_throughput,40,2576531.951,2624202.894,2136776.003,3257046.395,262907.840,MEASURED
APPLICATION,8,2,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
