variant,application_count,phase,metric,count,mean,median,min,max,stddev,status
SUBPROCESS_SERIAL_BASELINE,1,phase4,pipeline_total_us,15,53459.130,55720.566,45293.363,61731.299,6140.940,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,pipeline_service_rate_apps_sec,15,56.829,53.840,48.598,66.235,6.660,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,aggregate_throughput,15,4859420.438,4847487.208,4642409.358,4997435.845,136139.918,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,runtime_cpu_percent,15,23.095,23.324,21.694,24.567,1.160,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase5,serial_wait_us,15,221.198,220.437,183.479,287.989,27.676,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,parent_prepare_us,15,44.773,40.312,32.601,63.684,9.643,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,fork_wait_wall_us,15,5518.654,5123.576,4070.219,8614.152,1307.041,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,child_profiled_total_us,15,1413.132,1191.800,981.385,3177.640,554.886,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,startup_uninstrumented_residual_us,15,4105.522,3905.260,3088.834,5640.673,826.343,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase5,file_io_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase5,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase5,total_phase_us,15,5619.566,5239.832,4142.547,8714.439,1311.032,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,pipeline_total_us,15,53459.130,55720.566,45293.363,61731.299,6140.940,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,pipeline_service_rate_apps_sec,15,56.829,53.840,48.598,66.235,6.660,MEASURED
