workload,mode,metric,count,mean,median,min,max,stddev,status
moderate,INTEGRATED,discovery_us,5,47220.825,49844.394,40779.729,53364.178,5600.993,MEASURED
moderate,INTEGRATED,queue_wait_us,5,580.174,91.359,60.670,2295.152,967.515,MEASURED
moderate,INTEGRATED,worker_execution_us,5,2106.328,2147.284,1635.782,2465.741,331.473,MEASURED
moderate,INTEGRATED,phase3_us,5,2102.014,2143.381,1632.403,2460.231,330.639,MEASURED
moderate,INTEGRATED,pipeline_serial_wait_us,5,245.507,246.007,190.209,280.575,34.253,MEASURED
moderate,INTEGRATED,phase4_us,5,4540.268,4110.207,3713.557,6479.339,1132.113,MEASURED
moderate,INTEGRATED,phase5_us,5,6114.128,4472.478,3690.254,11778.904,3314.063,MEASURED
moderate,INTEGRATED,phase6_us,5,6414.827,3982.634,3287.228,15945.745,5370.340,MEASURED
moderate,INTEGRATED,coordinator_overhead_us,5,862.863,851.580,805.944,959.503,64.545,MEASURED
moderate,INTEGRATED,completion_latency_us,5,2749.044,2296.214,1756.472,4835.221,1224.965,MEASURED
moderate,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
moderate,INTEGRATED,runtime_cycle_total_us,5,103457.992,102618.025,92161.420,111914.864,7797.809,MEASURED
moderate,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
moderate,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
moderate,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
moderate,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
moderate,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
cold,BASELINE,benchmark_elapsed_ms,5,287.097,267.831,232.084,388.279,59.413,MEASURED
cold,BASELINE,benchmark_throughput_ops_sec,5,7173052.286,7467394.648,5150934.711,8617572.657,1263889.419,MEASURED
cold,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,benchmark_cpu_percent,5,175.293,181.379,152.089,186.544,13.959,MEASURED
cold,BASELINE,benchmark_rss_kb,5,10068.800,10056.000,9992.000,10184.000,70.108,MEASURED
cold,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,INTEGRATED,benchmark_elapsed_ms,5,302.397,291.034,263.968,334.971,30.164,MEASURED
cold,INTEGRATED,benchmark_throughput_ops_sec,5,6667185.215,6872059.609,5970671.072,7576677.253,670266.286,MEASURED
cold,INTEGRATED,runtime_cpu_percent,5,56.880,56.303,54.094,61.842,2.967,MEASURED
cold,INTEGRATED,runtime_rss_kb,5,4508.800,4624.000,4048.000,4624.000,257.595,MEASURED
cold,INTEGRATED,runtime_vms_kb,5,154603.200,154592.000,154592.000,154620.000,15.336,MEASURED
cold,INTEGRATED,benchmark_cpu_percent,5,175.207,178.112,161.326,185.748,10.063,MEASURED
cold,INTEGRATED,benchmark_rss_kb,5,10068.800,10056.000,9992.000,10184.000,70.108,MEASURED
cold,INTEGRATED,discovery_us,5,59493.700,58894.913,53147.431,66377.536,4921.670,MEASURED
