workload,mode,metric,count,mean,median,min,max,stddev,status
mixed,INTEGRATED,queue_wait_us,5,1169.058,88.348,70.620,5356.406,2341.950,MEASURED
mixed,INTEGRATED,worker_execution_us,5,2392.730,2469.900,1870.043,2740.908,374.043,MEASURED
mixed,INTEGRATED,phase3_us,5,2387.922,2464.314,1866.384,2735.936,373.043,MEASURED
mixed,INTEGRATED,pipeline_serial_wait_us,5,279.117,284.508,211.457,321.347,43.503,MEASURED
mixed,INTEGRATED,phase4_us,5,4973.345,4670.630,4154.326,6297.621,812.606,MEASURED
mixed,INTEGRATED,phase5_us,5,5268.300,5103.518,4634.216,6022.374,563.291,MEASURED
mixed,INTEGRATED,phase6_us,5,6140.983,4598.567,3651.951,12262.450,3539.139,MEASURED
mixed,INTEGRATED,coordinator_overhead_us,5,936.986,980.085,739.030,1072.442,129.238,MEASURED
mixed,INTEGRATED,completion_latency_us,5,3628.612,2791.012,1992.583,8161.321,2561.816,MEASURED
mixed,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
mixed,INTEGRATED,runtime_cycle_total_us,5,106374.852,105161.460,100776.841,117148.676,6694.012,MEASURED
mixed,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
